127.0.0.1, 2016-04-13 14:34:09, GET, /, HTTP/1.1, 303, 0.001766
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.209311
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001308
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002217
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001178
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001194
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001307
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003053
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000859
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001457
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000460
127.0.0.1, 2016-04-13 14:34:09, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000637
127.0.0.1, 2016-04-13 14:34:10, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000550
127.0.0.1, 2016-04-13 14:34:10, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000833
127.0.0.1, 2016-04-13 14:34:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000690
127.0.0.1, 2016-04-13 14:34:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001098
127.0.0.1, 2016-04-13 14:34:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000497
127.0.0.1, 2016-04-13 14:34:12, GET, /admin/default/index, HTTP/1.1, 200, 0.107253
127.0.0.1, 2016-04-13 14:34:12, GET, /admin/static/_2.14.4/js/jquery.js, HTTP/1.1, 200, 0.003558
127.0.0.1, 2016-04-13 14:34:12, GET, /admin/static/_2.14.4/js/calendar.js, HTTP/1.1, 200, 0.001959
127.0.0.1, 2016-04-13 14:34:12, GET, /admin/static/_2.14.4/css/calendar.css, HTTP/1.1, 200, 0.003430
127.0.0.1, 2016-04-13 14:34:12, GET, /admin/static/_2.14.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003253
127.0.0.1, 2016-04-13 14:34:12, GET, /admin/static/_2.14.4/js/web2py.js, HTTP/1.1, 200, 0.002456
